BIDDER: Vinayak | INSTRUMENT: Rakuten | BID TYPE: Buy | BID TIME: 09-30-00| BID PRICE:  398 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Vinayak | INSTRUMENT: Rakuten | BID TYPE: Buy | BID TIME: 09-30-20| BID PRICE:  393 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Vinayak | INSTRUMENT: Rakuten | BID TYPE: Buy | BID TIME: 09-30-20| BID PRICE:  393 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Praveen | INSTRUMENT: Karza   | BID TYPE: Buy | BID TIME: 09-30-40| BID PRICE:   10 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Praveen | INSTRUMENT: Karza   | BID TYPE: Buy | BID TIME: 09-30-40| BID PRICE:   10 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Praveen | INSTRUMENT: Karza   | BID TYPE: Buy | BID TIME: 09-30-40| BID PRICE:   10 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Praveen | INSTRUMENT: Karza   | BID TYPE: Buy | BID TIME: 09-30-40| BID PRICE:   10 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Praveen | INSTRUMENT: Karza   | BID TYPE: Buy | BID TIME: 09-30-40| BID PRICE:   10 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Vinayak | INSTRUMENT: Rakuten | BID TYPE: Buy | BID TIME: 09-31-00| BID PRICE:  409 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Vinayak | INSTRUMENT: Rakuten | BID TYPE: Buy | BID TIME: 09-31-00| BID PRICE:  409 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Vinayak | INSTRUMENT: Rakuten | BID TYPE: Sell| BID TIME: 09-31-20| BID PRICE:  410 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Vinayak | INSTRUMENT: Rakuten | BID TYPE: Sell| BID TIME: 09-31-20| BID PRICE:  410 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Vinayak | INSTRUMENT: Rakuten | BID TYPE: Sell| BID TIME: 09-31-20| BID PRICE:  410 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Vinayak | INSTRUMENT: Rakuten | BID TYPE: Sell| BID TIME: 09-31-20| BID PRICE:  410 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Vinayak | INSTRUMENT: Rakuten | BID TYPE: Sell| BID TIME: 09-31-20| BID PRICE:  410 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
BIDDER: Praveen | INSTRUMENT: Rakuten | BID TYPE: Buy | BID TIME: 09-31-40| BID PRICE:  398 INR| STATUS: ACTIVE   | TRANSACTION_TIME: None
